Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
New,hp,i5,8,256,intel,15.6,No,761.0
New,msi,i7,16,256,other,14.0,No,2023.37
Refurbished,asus,i7,16,1000,nvdia,15.6,No,652.19
New,lenovo,ryzen 7,16,1000,nvdia,15.6,No,1553.68
Refurbished,asus,i7,8,512,intel,15.6,No,699.0
New,samsung,i5,16,512,intel,13.3,Yes,1561.0
New,lenovo,ryzen 5,16,512,nvdia,15.6,No,779.01
Refurbished,other,i7,8,256,intel,15.6,No,427.59
New,lenovo,i3,8,256,intel,14.0,No,640.9300000000001
Refurbished,msi,i7,32,1000,nvdia,15.6,No,1592.89
Refurbished,hp,i7,16,512,nvdia,15.6,No,2677.83
New,hp,ryzen 3,8,512,intel,15.6,No,586.66
New,asus,i9,32,1000,nvdia,13.4,Yes,3943.37
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,1183.68
Refurbished,hp,i5,8,256,intel,15.6,No,1074.06
Refurbished,acer,i7,16,1000,nvdia,15.6,No,914.64
New,asus,ryzen 7,16,512,nvdia,15.6,No,1175.01
Refurbished,asus,i5,8,512,intel,14.0,No,579.0
New,other,ryzen 5,8,512,intel,15.6,No,338.81
New,lenovo,i3,4,1000,other,15.6,No,619.5300000000001
New,dell,i5,8,1000,amd,15.6,No,722.25
New,dell,i7,16,256,intel,13.3,Yes,1764.43
New,hp,i5,8,256,intel,15.6,No,454.33
New,asus,ryzen 7,16,1000,intel,15.6,No,1149.04
New,lenovo,i7,4,1000,other,15.6,No,854.9300000000001
New,hp,i7,6,1000,amd,15.6,No,817.48
Refurbished,lenovo,i5,8,256,intel,12.5,No,358.99
Refurbished,acer,ryzen 7,16,512,nvdia,15.6,No,670.53
New,microsoft,i5,16,512,intel,13.5,Yes,1846.85
New,dell,i5,8,256,intel,13.3,No,919.0
New,samsung,other,4,64,intel,14.0,No,369.27
Refurbished,other,i7,16,1000,nvdia,17.3,No,2699.99
New,asus,M1,8,64,intel,14.0,Yes,449.01
Refurbished,apple,i5,8,128,intel,13.3,No,658.25
New,msi,ryzen 5,16,512,intel,15.6,No,839.0
New,acer,i3,8,256,intel,15.6,No,394.0
Refurbished,hp,i7,16,512,intel,14.0,No,1619.46
Refurbished,msi,i7,32,1000,nvdia,17.0,Yes,4499.0
New,hp,i3,4,1000,amd,15.6,No,501.83
New,dell,i3,4,128,amd,15.6,No,533.9300000000001
New,samsung,i7,16,128,other,15.6,No,1817.93
New,lenovo,i7,8,128,other,15.6,No,1186.63
New,lenovo,other,8,256,intel,15.6,No,411.0
New,other,other,8,256,intel,14.1,No,329.91
New,other,i3,8,512,intel,14.0,No,449.9
New,asus,i7,16,512,intel,14.0,No,1719.0
New,asus,ryzen 7,16,512,intel,15.6,No,789.0
New,other,other,8,256,intel,14.0,No,239.0
New,other,i7,16,1000,nvdia,15.6,No,3299.99
Refurbished,lenovo,i5,16,512,intel,13.3,Yes,1151.84
New,asus,i5,8,128,other,15.6,No,897.73
New,other,other,8,256,intel,13.0,No,436.56
New,asus,ryzen 7,16,512,intel,14.0,No,1199.0
New,msi,i5,8,256,nvdia,15.6,No,1523.0
Refurbished,apple,M1,8,256,intel,13.3,No,1029.76
Refurbished,hp,i7,32,1000,nvdia,17.3,No,1297.04
Refurbished,msi,i7,16,1000,nvdia,17.3,No,1599.0
Refurbished,lenovo,ryzen 5,8,512,intel,15.6,No,713.83
Refurbished,lenovo,i5,16,512,intel,14.0,No,1049.0
Refurbished,other,i7,16,512,nvdia,15.6,No,1043.24
Refurbished,msi,i7,32,1000,nvdia,15.6,No,1322.09
New,apple,i7,16,512,amd,15.4,No,3058.0600000000004
New,lenovo,i5,8,256,intel,14.0,No,1872.0
New,asus,i7,32,512,other,17.3,No,2994.9300000000003
New,hp,i5,8,256,intel,13.3,Yes,1496.9193
New,hp,i5,4,256,intel,14.0,No,1701.3000000000002
New,dell,i5,8,256,amd,15.6,No,1003.0
New,dell,i5,4,128,other,15.6,No,976.375
Refurbished,acer,i7,8,512,intel,15.6,No,475.83
New,other,i5,8,512,intel,14.0,No,999.0
New,dell,i5,8,256,intel,14.0,No,1091.0
New,dell,i7,8,1000,other,15.6,No,1282.93
Refurbished,dell,i5,16,256,intel,14.0,No,529.0
Refurbished,apple,i5,8,256,intel,13.0,No,634.25
New,acer,other,4,500,intel,15.6,No,309.23
Refurbished,hp,i5,8,256,intel,13.3,No,490.0
New,asus,ryzen 7,16,1000,nvdia,15.6,No,1335.01
New,apple,M1,16,256,intel,13.3,No,1349.0
New,asus,i7,16,512,intel,13.3,Yes,1871.323
Refurbished,lenovo,i5,16,512,intel,14.0,No,999.0
New,lenovo,other,8,128,intel,15.6,No,579.21
Refurbished,apple,i5,8,512,intel,13.3,No,895.0
New,dell,i5,8,256,intel,14.0,No,1526.89
