Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
0,2,2,3,1.0,15.6,676.0,0,0,0,1,0,0,0,0,0,0
1,2,2,3,1.0,13.3,725.89,0,0,0,1,0,0,0,0,0,0
0,2,1,2,1.0,13.3,1374.95,0,0,0,0,0,0,0,0,0,1
0,3,3,4,1.0,13.5,1699.01,0,0,0,1,0,0,0,0,0,0
0,2,2,3,2.0,15.6,3442.0,0,0,0,0,0,0,0,0,0,0
1,3,3,4,2.0,15.6,1304.79,0,0,0,0,0,0,0,1,0,0
0,2,3,3,2.0,15.6,1349.9,0,0,0,0,0,0,0,1,0,0
0,3,3,4,1.0,14.0,2119.0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,1.0,14.0,979.0,0,0,0,0,1,0,0,0,0,0
1,3,3,3,1.0,13.3,867.53,0,0,0,0,0,0,1,0,0,0
0,2,2,3,0.0,14.0,1274.9,0,0,0,0,1,0,0,0,0,0
0,1,2,4,2.0,15.6,533.9300000000001,0,0,0,0,1,0,0,0,0,0
1,3,3,4,1.0,17.3,1073.34,0,0,0,0,0,0,1,0,0,0
0,2,2,3,2.0,15.6,809.01,0,1,0,0,0,0,0,0,0,0
1,3,4,4,2.0,15.6,2818.09,0,0,1,0,0,0,0,0,0,0
0,3,4,4,1.0,16.0,2059.76,0,0,0,0,0,0,1,0,0,0
0,2,2,3,0.0,14.0,899.0,0,1,0,0,0,0,0,0,0,0
0,3,4,3,1.0,17.3,2849.4100000000003,0,0,0,0,1,0,0,0,0,0
0,1,2,3,1.0,15.6,449.0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1.0,14.0,306.02000000000004,0,1,0,0,0,0,0,0,0,0
0,3,3,3,1.0,14.0,1064.0,0,0,1,0,0,0,0,0,0,0
1,2,2,3,3.0,13.3,1020.01,1,0,0,0,0,0,0,0,0,0
0,2,2,4,1.0,15.6,692.2900000000001,0,0,1,0,0,0,0,0,0,0
0,2,2,3,2.0,15.6,1009.0,0,1,0,0,0,0,0,0,0,0
1,3,3,4,2.0,15.6,785.69,0,1,0,0,0,0,0,0,0,0
1,3,4,4,0.0,15.6,1414.04,0,0,0,0,0,0,1,0,0,0
